Brand,Model,Length,Width,Thickness,Volume,Image URL,Total Length (inches)
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’5 , 18.00 , 2.25 ,23.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,65.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’2 , 17.50 , 2.15 ,20.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,62.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’11 , 19.38 , 2.44 ,29.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,71.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,6’1 , 19.63 , 2.54 ,32.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,73.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’0 , 17.25 , 2.09 ,19.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,60.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’10 , 19.25 , 2.40 ,28.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,70.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’3 , 17.75 , 2.18 ,21.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,63.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,6’5 , 20.38 , 2.72 ,37.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,77.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’9 , 19.00 , 2.37 ,27.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,69.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’8 , 18.75 , 2.33 ,26.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,68.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’4 , 17.88 , 2.22 ,22.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,64.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,6’4 , 20.13 , 2.70 ,36.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,76.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,5’7 , 18.50 , 2.30 ,25.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,67.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,6’2 , 19.75 , 2.60 ,33.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,74.0
lost-surfboards,Lost 3.0 Stub Driver Thumb,6’0 , 19.50 , 2.50 ,30.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_3.0StubDriverThumb.webp?v=1705952146,72.0
lost-surfboards,Lost California Twin Pin,5’2” , 18.75” , 2.20” ,23.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,62.0
lost-surfboards,Lost California Twin Pin,5’3” , 19.00” , 2.22” ,24.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,63.0
lost-surfboards,Lost California Twin Pin,5’6” , 19.75” , 2.34” ,27.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,66.0
lost-surfboards,Lost California Twin Pin,6’0” , 21.13” , 2.65” ,36.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,72.0
lost-surfboards,Lost California Twin Pin,5’10” , 20.75” , 2.55” ,33.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,70.0
lost-surfboards,Lost California Twin Pin,5’5” , 19.50” , 2.35” ,26.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,65.0
lost-surfboards,Lost California Twin Pin,6’3” , 21.63” , 2.75” ,40.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,75.0
lost-surfboards,Lost California Twin Pin,5’8” , 20.25” , 2.45” ,30.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,68.0
lost-surfboards,Lost California Twin Pin,6’6” , 21.88” , 2.82” ,43.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,78.0
lost-surfboards,Lost California Twin Pin,5’11” , 21.00” , 2.60” ,35.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,71.0
lost-surfboards,Lost California Twin Pin,6’1” , 21.25” , 2.70” ,37.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,73.0
lost-surfboards,Lost California Twin Pin,5’4” , 19.25” , 2.25” ,25.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,64.0
lost-surfboards,Lost California Twin Pin,6’2” , 21.50” , 2.75” ,39.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,74.0
lost-surfboards,Lost California Twin Pin,5’7” , 20.00” , 2.40” ,29.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,67.0
lost-surfboards,Lost California Twin Pin,5’9” , 20.50” , 2.50” ,32.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,69.0
lost-surfboards,Lost California Twin Pin,6’4” , 21.75” , 2.78” ,41.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Callifornia-Twin-Pin.jpg?v=1674675701,76.0
lost-surfboards,Lost Driver 3.0,5’2” , 17.38” , 2.15” ,20.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,62.0
lost-surfboards,Lost Driver 3.0,5’3” , 17.50” , 2.18” ,21.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,63.0
lost-surfboards,Lost Driver 3.0,5’6” , 18.50” , 2.30” ,25.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,66.0
lost-surfboards,Lost Driver 3.0,6’0” , 19.44” , 2.53” ,31.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,72.0
lost-surfboards,Lost Driver 3.0,5’10” , 19.00” , 2.45” ,29.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,70.0
lost-surfboards,Lost Driver 3.0,5’5” , 18.25” , 2.27” ,23.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,65.0
lost-surfboards,Lost Driver 3.0,6’3” , 20.13” , 2.70” ,35.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,75.0
lost-surfboards,Lost Driver 3.0,5’8” , 18.75” , 2.38” ,27.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,68.0
lost-surfboards,Lost Driver 3.0,6’6” , 20.25” , 2.63” ,36.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,78.0
lost-surfboards,Lost Driver 3.0,5’0” , 17.00” , 2.13” ,19.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,60.0
lost-surfboards,Lost Driver 3.0,6’1” , 19.63” , 2.60” ,32.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,73.0
lost-surfboards,Lost Driver 3.0,5’11” , 19.25” , 2.50” ,30.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,71.0
lost-surfboards,Lost Driver 3.0,5’4” , 18.00” , 2.25” ,22.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,64.0
lost-surfboards,Lost Driver 3.0,6’2” , 19.88” , 2.64” ,34.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,74.0
lost-surfboards,Lost Driver 3.0,5’7” , 18.63” , 2.34” ,26.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,67.0
lost-surfboards,Lost Driver 3.0,5’1” , 17.25” , 2.13” ,19.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,61.0
lost-surfboards,Lost Driver 3.0,5’9” , 18.88” , 2.42” ,28.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,69.0
lost-surfboards,Lost Driver 3.0,6’4” , 20.00” , 2.66” ,37.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0-Squash.jpg?v=1674675700,76.0
lost-surfboards,Lost Driver 3.0 Grom,4’10” , 16.75” , 2.09” ,17.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,58.0
lost-surfboards,Lost Driver 3.0 Grom,4’8” , 16.38” , 2.06” ,16.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,56.0
lost-surfboards,Lost Driver 3.0 Grom,4’9” , 16.50” , 2.08” ,17.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,57.0
lost-surfboards,Lost Driver 3.0 Grom,5’4” , 17.75” , 2.20” ,21.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,64.0
lost-surfboards,Lost Driver 3.0 Grom,5’2” , 17.38” , 2.15” ,20.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,62.0
lost-surfboards,Lost Driver 3.0 Grom,5’3” , 17.50” , 2.18” ,21.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,63.0
lost-surfboards,Lost Driver 3.0 Grom,5’0” , 17.13” , 2.13” ,19.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,60.0
lost-surfboards,Lost Driver 3.0 Grom,4’7” , 16.00” , 2.03” ,15.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,55.0
lost-surfboards,Lost Driver 3.0 Grom,4’6” , 15.88” , 2.00” ,15.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,54.0
lost-surfboards,Lost Driver 3.0 Grom,4’11” , 17.00” , 2.10” ,18.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,59.0
lost-surfboards,Lost Driver 3.0 Grom,5’1” , 17.25” , 2.13” ,19.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Grom-Driver-3.0.jpg?v=1674675700,61.0
lost-surfboards,Lost Driver 3.0 Round,5’2” , 17.38” , 2.13” ,20.3,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,62.0
lost-surfboards,Lost Driver 3.0 Round,5’3” , 17.50” , 2.18” ,21.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,63.0
lost-surfboards,Lost Driver 3.0 Round,5’6” , 18.38” , 2.36” ,25.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,66.0
lost-surfboards,Lost Driver 3.0 Round,6’5” , 20.63” , 2.80” ,38.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,77.0
lost-surfboards,Lost Driver 3.0 Round,6’0” , 19.50” , 2.60” ,31.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,72.0
lost-surfboards,Lost Driver 3.0 Round,5’10” , 19.25” , 2.53” ,29.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,70.0
lost-surfboards,Lost Driver 3.0 Round,5’5” , 18.25” , 2.32” ,24.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,65.0
lost-surfboards,Lost Driver 3.0 Round,6’3” , 20.13” , 2.70” ,35.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,75.0
lost-surfboards,Lost Driver 3.0 Round,5’8” , 18.75” , 2.44” ,27.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,68.0
lost-surfboards,Lost Driver 3.0 Round,6’6” , 20.75” , 2.84” ,40.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,78.0
lost-surfboards,Lost Driver 3.0 Round,5’0” , 17.13” , 2.13” ,19.1,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,60.0
lost-surfboards,Lost Driver 3.0 Round,6’1” , 19.63” , 2.63” ,32.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,73.0
lost-surfboards,Lost Driver 3.0 Round,5’11” , 19.38” , 2.55” ,30.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,71.0
lost-surfboards,Lost Driver 3.0 Round,5’4” , 18.00” , 2.28” ,23.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,64.0
lost-surfboards,Lost Driver 3.0 Round,6’2” , 19.88” , 2.66” ,34.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,74.0
lost-surfboards,Lost Driver 3.0 Round,5’7” , 18.63” , 2.40” ,26.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,67.0
lost-surfboards,Lost Driver 3.0 Round,5’1” , 17.25” , 2.13” ,19.6,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,61.0
lost-surfboards,Lost Driver 3.0 Round,5’9” , 19.00” , 2.50” ,28.4,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,69.0
lost-surfboards,Lost Driver 3.0 Round,6’4” , 20.38” , 2.75” ,37.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost-Driver-3.0_Round.jpg?v=1674675701,76.0
lost-surfboards,Lost Glydra,7’5” , 22.38” , 2.96” ,53.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,89.0
lost-surfboards,Lost Glydra,7’0” , 21.75” , 2.84” ,47.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,84.0
lost-surfboards,Lost Glydra,6’10” , 21.50” , 2.75” ,44.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,82.0
lost-surfboards,Lost Glydra,6’8” , 21.00” , 2.70” ,41.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,80.0
lost-surfboards,Lost Glydra,6’7” , 20.75” , 2.66” ,39.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,79.0
lost-surfboards,Lost Glydra,7’6” , 22.50” , 3.00” ,55.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,90.0
lost-surfboards,Lost Glydra,7’3” , 22.13” , 2.92” ,51.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,87.0
lost-surfboards,Lost Glydra,6’6” , 20.50” , 2.63” ,38.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,78.0
lost-surfboards,Lost Glydra,7’1” , 21.88” , 2.85” ,48.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,85.0
lost-surfboards,Lost Glydra,7’4” , 22.25” , 2.95” ,52.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,88.0
lost-surfboards,Lost Glydra,7’2” , 22.00” , 2.88” ,49.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,86.0
lost-surfboards,Lost Glydra,"6'2"" ", 19.50” , 2.50” ,32.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,74.0
lost-surfboards,Lost Glydra,6’9” , 21.25” , 2.72” ,42.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,81.0
lost-surfboards,Lost Glydra,7’7” , 22.75” , 3.03” ,57.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,91.0
lost-surfboards,Lost Glydra,6’4” , 20.00” , 2.56” ,35.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,76.0
lost-surfboards,Lost Glydra,6’11” , 21.63” , 2.80” ,45.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Surfboard_Cutouts_lost_0000_gllyyydra.jpg?v=1652456030,83.0
lost-surfboards,Lost LayZToy II," 6'10"" "," 22.75"" ", 3.04 ,53.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,82.0
lost-surfboards,Lost LayZToy II," 6'8"" ", 22.50” , 3.00” ,50.5,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,80.0
lost-surfboards,Lost LayZToy II," 5'4"" "," 20.25"" "," 2.44"" ",29.5,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,64.0
lost-surfboards,Lost LayZToy II," 6'4"" ", 22.00” ," 2.88"" ",45.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,76.0
lost-surfboards,Lost LayZToy II," 6'6"" ", 22.50” ," 2.96"" ",48.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,78.0
lost-surfboards,Lost LayZToy II," 7'2"" "," 23.25"" ", 3.10” ,58.1,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,86.0
lost-surfboards,Lost LayZToy II," 5'8"" "," 20.75"" "," 2.66"" ",35.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,68.0
lost-surfboards,Lost LayZToy II," 5'0"" "," 19.50"" "," 2.32"" ",25.2,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,60.0
lost-surfboards,Lost LayZToy II," 5'2"" "," 20"" "," 2.38"" ",27.5,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,62.0
lost-surfboards,Lost LayZToy II," 5'10"" "," 21.25"" ", 2.70” ,37.5,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,70.0
lost-surfboards,Lost LayZToy II," 7'0"" ", 23.00” , 3.10” ,56.1,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,84.0
lost-surfboards,Lost LayZToy II," 6'2"" "," 21.75"" "," 2.82""  ",42.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,74.0
lost-surfboards,Lost LayZToy II," 6'0"" ", 21.50” ," 2.75""  ",40.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,72.0
lost-surfboards,Lost LayZToy II," 5'6"" "," 20"" "," 2.50"" ",31.0,https://cdn.shopify.com/s/files/1/2062/5873/files/layzy2.jpg?v=1654784966,66.0
lost-surfboards,Lost Party Crasher,"6’2"" ", 20.50” , 2.75” ,38.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,74.0
lost-surfboards,Lost Party Crasher,6’10” , 22.38” , 3.00” ,50.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,82.0
lost-surfboards,Lost Party Crasher,6’5” , 21.25” , 2.81” ,42.5,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,77.0
lost-surfboards,Lost Party Crasher,6’8” , 22.00” , 2.94” ,47.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,80.0
lost-surfboards,Lost Party Crasher,6’0” , 20.00” , 2.69” ,35.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,72.0
lost-surfboards,Lost Party Crasher,6’7” , 21.75” , 2.88” ,45.5,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,79.0
lost-surfboards,Lost Party Crasher,5’10” , 19.50” , 2.56” ,32.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,70.0
lost-surfboards,Lost Party Crasher,6’3” , 20.75” , 2.75” ,39.5,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,75.0
lost-surfboards,Lost Party Crasher,5’8” , 19.00” , 2.50” ,29.5,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,68.0
lost-surfboards,Lost Party Crasher,5’11” , 19.75” , 2.56” ,33.2,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,71.0
lost-surfboards,Lost Party Crasher,"6’4"" ", 21.00” , 2.81” ,41.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,76.0
lost-surfboards,Lost Party Crasher,"6’6"" ", 21.50” , 2.88” ,44.0,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,78.0
lost-surfboards,Lost Party Crasher,"6’1"" ", 20.25” , 2.69” ,36.5,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,73.0
lost-surfboards,Lost Party Crasher,6’9” , 22.25” , 2.94” ,48.5,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,81.0
lost-surfboards,Lost Party Crasher,5’9” , 19.25” ," 2.50"" ",30.7,https://cdn.shopify.com/s/files/1/2062/5873/files/PartyCrasher.jpg?v=1581433476,69.0
lost-surfboards,Lost Party Platter,5’5 , 21.50 , 2.54 ,34.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,65.0
lost-surfboards,Lost Party Platter,5’2 , 20.75 , 2.42 ,30.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,62.0
lost-surfboards,Lost Party Platter,5’11 , 22.88 , 2.75 ,44.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,71.0
lost-surfboards,Lost Party Platter,4’10 , 19.75 , 2.27 ,25.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,58.0
lost-surfboards,Lost Party Platter,6’1 , 23.13 , 2.85 ,47.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,73.0
lost-surfboards,Lost Party Platter,5’0 , 20.25 , 2.34 ,28.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,60.0
lost-surfboards,Lost Party Platter,5’10 , 22.75 , 2.70 ,42.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,70.0
lost-surfboards,Lost Party Platter,5’3 , 21.00 , 2.45 ,31.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,63.0
lost-surfboards,Lost Party Platter,5’9 , 22.50 , 2.66 ,40.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,69.0
lost-surfboards,Lost Party Platter,5’8 , 22.25 , 2.65 ,39.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,68.0
lost-surfboards,Lost Party Platter,5’1 , 20.50 , 2.36 ,29.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,61.0
lost-surfboards,Lost Party Platter,5’4 , 21.25 , 2.50 ,33.2,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,64.0
lost-surfboards,Lost Party Platter,5’6 , 21.75 , 2.56 ,36.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,66.0
lost-surfboards,Lost Party Platter,5’7 , 22.00 , 2.60 ,37.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,67.0
lost-surfboards,Lost Party Platter,6’0 , 23.00 , 2.80 ,45.5,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_PartyPlatter.webp?v=1705952147,72.0
lost-surfboards,Lost Pisces,5’2” , 19.13” , 2.22” ,25.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_Pisces_aa1b8579-8c25-4403-bae1-c6f9fcae5dd7.webp?v=1715027213,62.0
lost-surfboards,Lost Pisces,5’3” , 19.38” , 2.25” ,26.0,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_Pisces_aa1b8579-8c25-4403-bae1-c6f9fcae5dd7.webp?v=1715027213,63.0
lost-surfboards,Lost Pisces,5’6” , 20.13” , 2.38” ,29.7,https://cdn.shopify.com/s/files/1/2062/5873/files/Lost_Pisces_aa1b8579-8c25-4403-bae1-c6f9fcae5dd7.webp?v=1715027213,66.0
