spot_name,href,full_url,spot_type,lat,lng,county,id
Tijuana Sloughs,/breaks/Tijuana-Sloughs,https://www.surf-forecast.com/breaks/Tijuana-Sloughs,River,32.5538,-117.1406,San Diego County,5842041f4e65fad6a77088cb
Klamath Rivermouth,/breaks/Klamath-Rivermouth,https://www.surf-forecast.com/breaks/Klamath-Rivermouth,River,41.5477,-124.0947,Del Norte County,640a3fb399dd4470f5033737
South Beach,/breaks/South-Beach,https://www.surf-forecast.com/breaks/South-Beach,Sandbar,41.7426,-124.1723,Del Norte County,5842041f4e65fad6a7708ac1
Redwood Creek,/breaks/Redwood-Creek,https://www.surf-forecast.com/breaks/Redwood-Creek,River,41.291,-124.093,Humboldt County,5842041f4e65fad6a770882e
Bunkers,/breaks/Bunkers_1,https://www.surf-forecast.com/breaks/Bunkers_1,Beach,40.772,-124.2295,Humboldt County,640b9a239b6fab6ce22fbbd9
Little River Clam Beach,/breaks/Little-River-Clam-Beach,https://www.surf-forecast.com/breaks/Little-River-Clam-Beach,Beach,41.0144,-124.1271,Humboldt County,640a3fa8b6d76910e551387d
Camel Rock,/breaks/Camel-Rock,https://www.surf-forecast.com/breaks/Camel-Rock,Sandbar,41.0491,-124.1281,Humboldt County,584204204e65fad6a7709454
Little River State Beach,/breaks/Little-River-State-Beach,https://www.surf-forecast.com/breaks/Little-River-State-Beach,Beach,40.995,-124.1174,Humboldt County,640a3fa8b6d76910e551387d
South Jetty Table Bluff,/breaks/South-Jetty-Table-Bluff,https://www.surf-forecast.com/breaks/South-Jetty-Table-Bluff,Beach,40.7593,-124.2484,Humboldt County,5842041f4e65fad6a7708a7b
Cape Mendocino,/breaks/Cape-Mendocino,https://www.surf-forecast.com/breaks/Cape-Mendocino,Beach,40.4174,-124.3993,Humboldt County,43ec27a8-cecc-11eb-9d18-024238d3b313
Mad River Beach,/breaks/Mad-River-Beach,https://www.surf-forecast.com/breaks/Mad-River-Beach,Beach,40.9094,-124.1475,Humboldt County,5842041f4e65fad6a77089bb
Stone Lagoon,/breaks/Stone-Lagoon,https://www.surf-forecast.com/breaks/Stone-Lagoon,Beach,41.2564,-124.1131,Humboldt County,640b8ffbde81d528590b1346
Centreville Beach,/breaks/Centreville-Beach,https://www.surf-forecast.com/breaks/Centreville-Beach,Beach,40.5987,-124.3408,Humboldt County,5842041f4e65fad6a77088d7
Moonstone Beach,/breaks/Moonstone-Beach,https://www.surf-forecast.com/breaks/Moonstone-Beach,Beach,41.0332,-124.1168,Humboldt County,640a3faab6d7692d595138e8
Dry Lagoon,/breaks/Dry-Lagoon,https://www.surf-forecast.com/breaks/Dry-Lagoon,Beach,41.2274,-124.1201,Humboldt County,5842041f4e65fad6a7708ec5
